username,salt,password,role
testa,$2b$10$d3SkT4fHTu.iLcSUdqHmL.,$2b$10$d3SkT4fHTu.iLcSUdqHmL.k2.E8ZlWeAfQ0KzFVGNx5YCNtBnKhdq,standard
testb,$2b$10$wqLHYsXN1/ko1mG6SegbZe,$2b$10$wqLHYsXN1/ko1mG6SegbZemeRKbooE1.9PuBohuqh4b3OV32oB422,standard
testd,$2b$10$ZAsTtAlo7TWsXqXuC6maB.,$2b$10$ZAsTtAlo7TWsXqXuC6maB.A5WglxUYVnhjhAZjVRRPhxV.Na6FXwi,standard
testc,$2b$10$CgcKwzNclS4Tq3b.MSTQce,$2b$10$CgcKwzNclS4Tq3b.MSTQce02u.g1izaD6yunVdzJbOGYBwev44ZyC,standard
teste,$2b$10$bJ2c7ONXYrvjJXR0eadmSe,$2b$10$bJ2c7ONXYrvjJXR0eadmSe2XErMaXjGyTspCS3j0a5ohLV.5ng1nG,standard
b123,$2b$10$lECW7Asi1UOtBF055rI4Ue,$2b$10$lECW7Asi1UOtBF055rI4Ue4UGR4X7xBsUaRZb8zWEXbVBzt3Lvar.,standard
c123,$2b$10$EE3SVywd3R0rg9TC0R4FM.,$2b$10$EE3SVywd3R0rg9TC0R4FM.4tqniyQXLxqYUtfFcD7PF7nk/5MEBAe,standard
d123,$2b$10$1LwN4s4WT.9prV4f17H8Me,$2b$10$1LwN4s4WT.9prV4f17H8MegG1BEX26HxiWeJSPW5cKmfnXC69pxmW,standard
e123,$2b$10$sABCs8zbEJJRmyn2FU05Du,$2b$10$sABCs8zbEJJRmyn2FU05DumsGH6MAOUfvIMaWO041V8rH/Vf166ty,standard
f123,$2b$10$RlQVArtcbnr9MvqvK.tzDO,$2b$10$RlQVArtcbnr9MvqvK.tzDOJT0TrTe4pbMetmMmTDZkIosNEX/yT.m,standard
a111,$2b$10$5A2OlQRi0FniErdw3qtFd.,$2b$10$5A2OlQRi0FniErdw3qtFd.BdwKTznRTjnJIzG0PhizbbOD.R/rEES,standard
b111,$2b$10$01cZ2avntLnMy3xnghU.Ku,$2b$10$01cZ2avntLnMy3xnghU.KuVxVQL98XImWVXY/KxcqMxisZbe1N87S,standard
c111,$2b$10$3EjyThsIIYKZd9AP4jM4we,$2b$10$3EjyThsIIYKZd9AP4jM4weBGaegRQ6HdiVGLVAMIhe6syCsz6HoYq,standard
a222,$2b$10$JOyVSWjAzrSHzuodD6.ZXe,$2b$10$JOyVSWjAzrSHzuodD6.ZXerbA09eNsG4zPYRbbABQyfrraF84hCtC,standard
b222,$2b$10$1HLMrFfSSI1XTRKwhrJc.e,$2b$10$1HLMrFfSSI1XTRKwhrJc.eVdUhmEL.hU/X8OaCqv/C0VZRVPx/zQy,standard
c222,$2b$10$ub5UFpGONjXMBYhUBaz2a.,$2b$10$ub5UFpGONjXMBYhUBaz2a.Zm8OYSL8lYpguUIKzGzf6FBOq3QWdea,standard
e222,$2b$10$6.srS2yxdNGl9SnB/AII5u,$2b$10$6.srS2yxdNGl9SnB/AII5usWXGUmHgScAMnU3BtBjj6xPcQ0/rarS,standard
a444,$2b$10$LYUr0xchvBA6oCLrds5Ode,$2b$10$LYUr0xchvBA6oCLrds5OdexKq6uwIXkEKiTgejudXVrDGtMNag6eO,standard
b444,$2b$10$5NwpYuEBUpMR.2w8z.FbjO,$2b$10$5NwpYuEBUpMR.2w8z.FbjOShZIwMMYE2Hl/r1MIjTxZohwKZFbhuC,standard
c444,$2b$10$sn6zTHnWqWDvw9yI5xs8he,$2b$10$sn6zTHnWqWDvw9yI5xs8heST.EYJV/q1u5muBnL8EYWmVn3BxnohG,standard
e555,$2b$10$p66QEc9JhE0ZHCYXBaeW7.,$2b$10$p66QEc9JhE0ZHCYXBaeW7.gnj/Ys8Orhju2wP7gz./c7YWO.MJEjC,standard
test6,$2b$10$oyqhxMTORiyvsuZZWUDCI.,$2b$10$oyqhxMTORiyvsuZZWUDCI.X.K/uAvz9qaAkPbuAocZEecWSv2sjeG,standard
test7,$2b$10$VoY4NjU/iBOHQ31Wdsfzge,$2b$10$VoY4NjU/iBOHQ31WdsfzgeHbtJHuvlZKQNDlOaPMuwd75HlU4arpW,standard
test8,$2b$10$Up.EcLyWV5YpSz1rquw6c.,$2b$10$Up.EcLyWV5YpSz1rquw6c.al4MS7YT.SiBIW/1JahxQygfTytBQq2,standard
test9,$2b$10$7wxK2zIxwR8m2F0cN463e.,$2b$10$7wxK2zIxwR8m2F0cN463e.yd3Ww8kDFXKzEwEo6apq8EX5jDw8sSq,standard
aaa,$2b$10$OAiHqkrcAgq224Gvfc4kre,$2b$10$OAiHqkrcAgq224Gvfc4kreXCoESNlBcRXHDt16ZnTT6/IMYWVxreW,standard
